time,Volume,Vol Snow,Vol Blue Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Local Runoff,Snowfall,Lake Level,Surface Area,Blue Ice Thickness,Snow Thickness,Snow Density,White Ice Thickness,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,Surface Wave Height,Surface Wave Length,Surface Wave Period,LakeNumber,Max dT/dz,CD,CHE,z/L
2009-01-01 24:00:00,486665515.708800,    0.000000,    0.000000,    0.000000,366962.227200,526446.518400,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   24.995870,39833661.951486,    0.000000,    0.000000,    0.000000,    0.000000,    0.100000,    4.759017,    0.171950,    0.171950,    0.000000,    0.000000,    0.000000, -165.492466,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000, 1935.671771,    0.066710,    0.001300,    0.001500,    0.000000
2009-01-02 24:00:00,486539836.863868,    0.000000,    0.000000,    0.000000,474706.526400,527053.780800,    0.000000,-75644.320912,    0.000000,    0.000000,    0.000000,   24.992615,39820787.034150,    0.000000,    0.000000,    0.000000,    0.000000,    0.099997,    4.269922,    4.057198,    4.057198,   86.515457,  -54.761657, -101.991844, -160.286079,    0.000000,    0.000000,    0.043094,    1.102001,    0.840130,    9.856016,    0.239846,    0.001300,    0.001500,    0.000000
2009-01-03 24:00:00,486415868.172409,    0.000000,    0.000000,    0.000000,477582.350400,529638.652800,    0.000000,-75494.251599, 1337.758439,    0.000000,    0.000000,   24.989404,39808087.310058,    0.000000,    0.000000,    0.000000,    0.000000,    0.099988,    3.976697,    3.771662,    3.771662,   43.642129,  -54.689628,  -85.995686,  -70.599212,    0.000000,    0.000000,    0.304330,    7.084407,    2.130135,    0.517381,    0.239782,    0.001300,    0.001500,    0.000000
2009-01-04 24:00:00,486313128.844507,    0.000000,    0.000000,    0.000000,438989.673600,532029.297600,    0.000000,-78762.094955,68755.978141,    0.000000,    0.000000,   24.986743,39797562.385560,    0.000000,    0.000000,    0.000000,    0.000000,    0.099973,    3.695527,    3.468682,    3.468682,   83.247850,  -57.080724,  -99.416985, -111.013775,    0.000000,    0.000000,    0.135785,    3.326723,    1.459700,    1.991499,    0.126372,    0.001300,    0.001500,    0.000000
2009-01-05 24:00:00,486206251.115799,    0.000000,    0.000000,    0.000000,504057.816000,531451.281600,    0.000000,-81916.061972,    0.000000,    0.000000,    0.000000,   24.983975,39786613.510887,    0.000000,    0.000000,    0.000000,    0.000000,    0.099953,    3.268582,    3.020539,    3.020539,   91.857426,  -59.408825, -126.239437, -179.045164,    0.000000,    0.000000,    0.173525,    4.198173,    1.639780,   13.561185,    0.126622,    0.001300,    0.001500,    0.000000
2009-01-06 24:00:00,486064022.137343,    0.000000,    0.000000,    0.000000,435228.768000,529132.780800,    0.000000,-49791.681347,    0.000000,    0.000000,    0.000000,   24.980292,39772043.148298,    0.000000,    0.000000,    0.000000,    0.000000,    0.099926,    3.248903,    1.946643,    1.946643,   72.323088,  -36.138581,  -70.986943, -110.676863,    0.000000,    0.000000,    0.028776,    0.751415,    0.693738,  104.250091,    0.195401,    0.001300,    0.001500,    0.000000
2009-01-07 24:00:00,485963906.503847,    0.000000,    0.000000,    0.000000,448862.083200,528700.046400,    0.000000,-57237.191850,36350.266982,    0.000000,    0.000000,   24.977699,39761787.002914,    0.000000,    0.000000,    0.000000,    0.000000,    0.099893,    2.650051,    2.503618,    2.503618,   31.947475,  -41.572234,  -77.589642,  -77.036136,    0.000000,    0.000000,    0.314772,    7.306948,    2.163333,    0.488388,    0.239575,    0.001300,    0.001500,    0.000000
2009-01-08 24:00:00,485868339.732816,    0.000000,    0.000000,    0.000000,520719.969600,533072.620800,    0.000000,-85682.566330,    0.000000,    0.000000,    0.000000,   24.975224,39751996.856627,    0.000000,    0.000000,    0.000000,    0.000000,    0.099855,    2.347457,    0.454226,    0.454226,   56.207545,  -62.251896, -122.825100, -102.664771,    0.000000,    0.000000,    0.090324,    2.248635,    1.200093,   10.670946,    0.214709,    0.001300,    0.001500,    0.000000
2009-01-09 24:00:00,486095233.554543,    0.000000,    0.000000,    0.000000,469106.899200,556700.212800,    0.000000,-42222.287659,366094.353835,    0.000000,    0.000000,   24.981100,39775240.539368,    0.000000,    0.000000,    0.000000,    0.000000,    0.099811,    2.334665,    2.017462,    2.017462,   47.610452,  -30.681160,  -58.006183,  -72.912774,    0.000000,    0.000000,    0.171833,    4.159506,    1.632211,   29.096237,    0.187082,    0.001300,    0.001500,    0.000000
2009-01-10 24:00:00,486107865.088126,    0.000000,    0.000000,    0.000000,478559.750400,569607.681600,    0.000000,-61724.571856,168535.724109,    0.000000,    0.000000,   24.981427,39776534.551505,    0.000000,    0.000000,    0.000000,    0.000000,    0.099760,    1.963781,    1.616893,    1.616893,   71.487001,  -44.834097,  -86.818429,  -97.188773,    0.000000,    0.000000,    0.125575,    3.087319,    1.406197,   35.768537,    0.132508,    0.001300,    0.001500,    0.000000
